relative_time,ph_7.6,ph_7.6,ph_8.2,ph_7.6,ph_8.2,ph_8.2,
1449837.1,8.072354736,7.427830811,7.52784668,7.49197876,6.515366211,7.954504395,
1449897.1,8.073422852,7.42355835,7.531051025,7.49411499,6.515366211,7.954504395,
1449957.1,8.073422852,7.421422119,7.533187256,7.495183105,6.516434326,7.954504395,
1450017.1,8.074490967,7.418217773,7.535323486,7.497319336,6.516434326,7.954504395,
1450077.1,8.073422852,7.413945313,7.536391602,7.495183105,6.516434326,7.953436279,
1450137.1,8.074490967,7.412877197,7.539595947,7.497319336,6.518570557,7.953436279,
1450197.1,8.076627197,7.411809082,7.542800293,7.499455566,6.519638672,7.95557251,
1450257.099,8.078763428,7.412877197,7.544936523,7.501591797,6.521774902,7.956640625,
1450317.099,8.081967773,7.413945313,7.549208984,7.504796143,6.524979248,7.95770874,
1450377.099,8.086240234,7.415013428,7.553481445,7.510136719,6.530319824,7.960913086,
1450437.099,8.08944458,7.415013428,7.556685791,7.513341064,6.53352417,7.963049316,
1450497.099,8.091580811,7.413945313,7.558822021,7.51654541,6.534592285,7.964117432,
1450557.099,8.092648926,7.415013428,7.560958252,7.518681641,6.536728516,7.965185547,
1450617.099,8.093717041,7.415013428,7.563094482,7.520817871,6.537796631,7.966253662,
1450677.099,8.094785156,7.415013428,7.565230713,7.522954102,6.538864746,7.967321777,
1450737.099,8.095853271,7.415013428,7.567366943,7.524022217,6.539932861,7.967321777,
1450797.098,8.095853271,7.417149658,7.569503174,7.526158447,6.541000977,7.968389893,
1450857.098,8.096921387,7.419285889,7.570571289,7.528294678,6.542069092,7.969458008,
1450917.098,8.096921387,7.421422119,7.57270752,7.530430908,6.543137207,7.969458008,
1450977.098,8.096921387,7.422490234,7.57484375,7.531499023,6.543137207,7.969458008,
1451037.098,8.097989502,7.424626465,7.575911865,7.532567139,6.544205322,7.969458008,
1451097.098,8.097989502,7.424626465,7.578048096,7.533635254,6.545273438,7.969458008,
1451157.098,8.097989502,7.42569458,7.580184326,7.535771484,6.546341553,7.970526123,
1451217.098,8.099057617,7.426762695,7.581252441,7.537907715,6.546341553,7.970526123,
1451277.097,8.099057617,7.426762695,7.583388672,7.540043945,6.547409668,7.970526123,
1451337.097,8.099057617,7.426762695,7.585524902,7.541112061,6.547409668,7.970526123,
1451397.097,8.099057617,7.427830811,7.586593018,7.542180176,6.548477783,7.970526123,
1451457.097,8.099057617,7.428898926,7.588729248,7.544316406,6.548477783,7.970526123,
1451517.097,8.099057617,7.428898926,7.590865479,7.545384521,6.549545898,7.970526123,
1451577.097,8.099057617,7.429967041,7.591933594,7.547520752,6.550614014,7.970526123,
1451637.097,8.099057617,7.431035156,7.594069824,7.549656982,6.550614014,7.970526123,
1451697.097,8.099057617,7.431035156,7.595137939,7.550725098,6.551682129,7.970526123,
1451757.096,8.099057617,7.432103271,7.59727417,7.551793213,6.551682129,7.970526123,
1451817.096,8.100125732,7.433171387,7.598342285,7.554997559,6.552750244,7.970526123,
1451877.096,8.100125732,7.434239502,7.600478516,7.556065674,6.552750244,7.970526123,
1451937.096,8.100125732,7.435307617,7.602614746,7.557133789,6.553818359,7.970526123,
1451997.096,8.100125732,7.435307617,7.603682861,7.55927002,6.553818359,7.970526123,
1452057.096,8.100125732,7.435307617,7.605819092,7.560338135,6.554886475,7.970526123,
1452117.096,8.101193848,7.436375732,7.606887207,7.55927002,6.554886475,7.970526123,
1452177.096,8.101193848,7.438511963,7.609023438,7.560338135,6.55595459,7.970526123,
1452237.096,8.101193848,7.440648193,7.610091553,7.56140625,6.55595459,7.971594238,
1452297.095,8.101193848,7.442784424,7.612227783,7.56354248,6.55595459,7.971594238,
1452357.095,8.101193848,7.443852539,7.613295898,7.564610596,6.557022705,7.972662354,
1452417.095,8.102261963,7.443852539,7.615432129,7.566746826,6.557022705,7.971594238,
1452477.095,8.102261963,7.443852539,7.616500244,7.566746826,6.55809082,7.970526123,
1452537.095,8.102261963,7.44598877,7.61970459,7.567814941,6.559158936,7.970526123,
1452597.095,8.102261963,7.447056885,7.620772705,7.569951172,6.559158936,7.970526123,
1452657.095,8.103330078,7.448125,7.622908936,7.571019287,6.560227051,7.970526123,
1452717.095,8.103330078,7.448125,7.623977051,7.569951172,6.560227051,7.969458008,
1452777.094,8.103330078,7.449193115,7.626113281,7.569951172,6.560227051,7.969458008,
1452837.094,8.104398193,7.451329346,7.628249512,7.572087402,6.562363281,7.970526123,
1452897.094,8.106534424,7.453465576,7.630385742,7.574223633,6.564499512,7.970526123,
1452957.094,8.108670654,7.454533691,7.632521973,7.577427979,6.567703857,7.972662354,
1453017.094,8.111875,7.454533691,7.635726318,7.579564209,6.569840088,7.973730469,
1453077.094,8.115079346,7.456669922,7.638930664,7.584904785,6.573044434,7.975866699,
1453137.094,8.118283691,7.457738037,7.64213501,7.588109131,6.576248779,7.97800293,
1453197.094,8.119351807,7.458806152,7.64427124,7.591313477,6.57838501,7.979071045,
1453257.093,8.120419922,7.458806152,7.645339355,7.594517822,6.579453125,7.981207275,
1453317.093,8.120419922,7.458806152,7.646407471,7.596654053,6.58052124,7.983343506,
1453377.093,8.121488037,7.459874268,7.648543701,7.597722168,6.583725586,7.984411621,
1453437.093,8.121488037,7.460942383,7.649611816,7.599858398,6.583725586,7.984411621,
1453497.093,8.122556152,7.466282959,7.650679932,7.601994629,6.585861816,7.985479736,
1453557.093,8.122556152,7.473759766,7.652816162,7.604130859,6.585861816,7.986547852,
1453617.093,8.122556152,7.479100342,7.653884277,7.605198975,6.586929932,7.987615967,
1453677.093,8.122556152,7.482304688,7.654952393,7.605198975,6.587998047,7.987615967,
