flask,ph,seconds,species
p_h_7_6_6,7.488743896,2880,nanno
p_h_7_6_4,7.502658691,2940,nanno
p_h_8_2_7,7.869936523,2940,nanno
p_h_8_2_5,8.02684082,2940,nanno
p_h_7_6_6,7.489812012,2940,nanno
p_h_7_6_4,7.503726807,3000,nanno
p_h_8_2_7,7.869936523,3000,nanno
p_h_8_2_5,8.02684082,3000,nanno
p_h_7_6_6,7.490880127,3000,nanno
p_h_7_6_4,7.504794922,3060,nanno
p_h_8_2_7,7.871004639,3060,nanno
p_h_8_2_5,8.02684082,3060,nanno
p_h_7_6_6,7.491948242,3060,nanno
p_h_7_6_4,7.506931152,3120,nanno
p_h_8_2_7,7.876345215,3120,nanno
p_h_8_2_5,8.027908936,3120,nanno
p_h_7_6_6,7.495152588,3120,nanno
p_h_7_6_4,7.506931152,3180,nanno
p_h_8_2_7,7.872072754,3180,nanno
p_h_8_2_5,8.02684082,3180,nanno
p_h_7_6_6,7.494084473,3180,nanno
p_h_7_6_4,7.507999268,3240,nanno
p_h_8_2_7,7.868868408,3240,nanno
p_h_8_2_5,8.02684082,3240,nanno
p_h_7_6_6,7.494084473,3240,nanno
p_h_7_6_4,7.507999268,3300,nanno
p_h_8_2_7,7.866732178,3300,nanno
p_h_8_2_5,8.025772705,3300,nanno
p_h_7_6_6,7.493016357,3300,nanno
p_h_7_6_4,7.509067383,3360,nanno
p_h_8_2_7,7.864595947,3360,nanno
p_h_8_2_5,8.025772705,3360,nanno
p_h_7_6_6,7.493016357,3360,nanno
p_h_7_6_4,7.510135498,3420,nanno
p_h_8_2_7,7.863527832,3420,nanno
p_h_8_2_5,8.025772705,3420,nanno
p_h_7_6_6,7.493016357,3420,nanno
p_h_7_6_4,7.510135498,3480,nanno
p_h_8_2_7,7.861391602,3480,nanno
p_h_8_2_5,8.02470459,3480,nanno
p_h_7_6_6,7.493016357,3480,nanno
p_h_7_6_4,7.511203613,3540,nanno
p_h_8_2_7,7.857119141,3540,nanno
p_h_8_2_5,8.02470459,3540,nanno
p_h_7_6_6,7.493016357,3540,nanno
p_h_7_6_4,7.511203613,3600,nanno
p_h_8_2_7,7.856051025,3600,nanno
p_h_8_2_5,8.023636475,3600,nanno
p_h_7_6_6,7.493016357,3600,nanno
p_h_7_6_4,7.513339844,3660,nanno
p_h_8_2_7,7.857119141,3660,nanno
p_h_8_2_5,8.023636475,3660,nanno
p_h_7_6_6,7.494084473,3660,nanno
p_h_7_6_4,7.514407959,3720,nanno
p_h_8_2_7,7.859255371,3720,nanno
p_h_8_2_5,8.023636475,3720,nanno
p_h_7_6_6,7.496220703,3720,nanno
p_h_7_6_4,7.517612305,3780,nanno
p_h_8_2_7,7.860323486,3780,nanno
p_h_8_2_5,8.023636475,3780,nanno
p_h_7_6_6,7.498356934,3780,nanno
p_h_7_6_4,7.519748535,3840,nanno
p_h_8_2_7,7.862459717,3840,nanno
p_h_8_2_5,8.023636475,3840,nanno
p_h_7_6_6,7.501561279,3840,nanno
p_h_7_6_4,7.522952881,3900,nanno
p_h_8_2_7,7.864595947,3900,nanno
p_h_8_2_5,8.023636475,3900,nanno
p_h_7_6_6,7.504765625,3900,nanno
p_h_7_6_4,7.525089111,3960,nanno
p_h_8_2_7,7.867800293,3960,nanno
p_h_8_2_5,8.023636475,3960,nanno
p_h_7_6_6,7.507969971,3960,nanno
p_h_7_6_4,7.528293457,4020,nanno
p_h_8_2_7,7.876345215,4020,nanno
p_h_8_2_5,8.02470459,4020,nanno
p_h_7_6_6,7.512242432,4020,nanno
p_h_7_6_4,7.530429688,4080,nanno
p_h_8_2_7,7.876345215,4080,nanno
p_h_8_2_5,8.02470459,4080,nanno
p_h_7_6_6,7.514378662,4080,nanno
p_h_7_6_4,7.531497803,4140,nanno
p_h_8_2_7,7.874208984,4140,nanno
p_h_8_2_5,8.02470459,4140,nanno
p_h_7_6_6,7.516514893,4140,nanno
p_h_7_6_4,7.532565918,4200,nanno
p_h_8_2_7,7.873140869,4200,nanno
p_h_8_2_5,8.023636475,4200,nanno
p_h_7_6_6,7.516514893,4200,nanno
p_h_7_6_4,7.532565918,4260,nanno
p_h_8_2_7,7.872072754,4260,nanno
p_h_8_2_5,8.023636475,4260,nanno
p_h_7_6_6,7.516514893,4260,nanno
p_h_7_6_4,7.532565918,4320,nanno
p_h_8_2_7,7.871004639,4320,nanno
p_h_8_2_5,8.023636475,4320,nanno
p_h_7_6_6,7.516514893,4320,nanno
p_h_7_6_4,7.533634033,4380,nanno
p_h_8_2_7,7.868868408,4380,nanno
p_h_8_2_5,8.023636475,4380,nanno
p_h_7_6_6,7.516514893,4380,nanno
p_h_7_6_4,7.533634033,4440,nanno
p_h_8_2_7,7.867800293,4440,nanno
p_h_8_2_5,8.022568359,4440,nanno
p_h_7_6_6,7.516514893,4440,nanno
p_h_7_6_4,7.534702148,4500,nanno
p_h_8_2_7,7.866732178,4500,nanno
p_h_8_2_5,8.022568359,4500,nanno
p_h_7_6_6,7.516514893,4500,nanno
p_h_7_6_4,7.534702148,4560,nanno
p_h_8_2_7,7.865664063,4560,nanno
p_h_8_2_5,8.022568359,4560,nanno
p_h_7_6_6,7.516514893,4560,nanno
p_h_7_6_4,7.535770264,4620,nanno
p_h_8_2_7,7.864595947,4620,nanno
p_h_8_2_5,8.022568359,4620,nanno
p_h_7_6_6,7.516514893,4620,nanno
p_h_7_6_4,7.535770264,4680,nanno
p_h_8_2_7,7.863527832,4680,nanno
p_h_8_2_5,8.021500244,4680,nanno
p_h_7_6_6,7.516514893,4680,nanno
p_h_7_6_4,7.536838379,4740,nanno
p_h_8_2_7,7.862459717,4740,nanno
p_h_8_2_5,8.021500244,4740,nanno
p_h_7_6_6,7.516514893,4740,nanno
p_h_7_6_4,7.536838379,4800,nanno
p_h_8_2_7,7.861391602,4800,nanno
p_h_8_2_5,8.021500244,4800,nanno
p_h_7_6_6,7.516514893,4800,nanno
p_h_7_6_4,7.536838379,4860,nanno
p_h_8_2_7,7.860323486,4860,nanno
p_h_8_2_5,8.020432129,4860,nanno
p_h_7_6_6,7.516514893,4860,nanno
p_h_7_6_4,7.537906494,4920,nanno
p_h_8_2_7,7.858187256,4920,nanno
p_h_8_2_5,8.020432129,4920,nanno
p_h_7_6_6,7.516514893,4920,nanno
p_h_7_6_4,7.537906494,4980,nanno
p_h_8_2_7,7.851778564,4980,nanno
p_h_8_2_5,8.019364014,4980,nanno
p_h_7_6_6,7.515446777,4980,nanno
